uid,tool,ip,fault_type,target,status,st_time,ed_time,filename,cmd
ea92d91b1e18f851,chaosblade,10.176.122.162,api-delay,3a9e08bb4c56b17190a1a8454825fabbf82a1a73b26557208d42848301c43491 verifycode.controller.VerifyCodeController imageCode,Destroyed,2022-11-28T12:20:01.539404654+08:00,2022-11-28T12:25:02.830913618+08:00,2022-11-28T12:20:01.539404654+08:00_2022-11-28T12:25:02.830913618+08:00,cri jvm delay  --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --container-id=3a9e08bb4c56b17190a1a8454825fabbf82a1a73b26557208d42848301c43491 --time=500 --pid=1 --classname=verifycode.controller.VerifyCodeController --methodname=imageCode
9dae09c3960d1f79,chaosblade,10.176.122.153,api-delay,724518d52906f1f04369b6ada7ef05a2182271f4068427cbba60478a9e61a179 travel.controller.TravelController queryInfo,Destroyed,2022-11-28T12:30:01.327706528+08:00,2022-11-28T12:35:02.722727718+08:00,2022-11-28T12:30:01.327706528+08:00_2022-11-28T12:35:02.722727718+08:00,cri jvm delay  --classname=travel.controller.TravelController --container-id=724518d52906f1f04369b6ada7ef05a2182271f4068427cbba60478a9e61a179 --pid=1 --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --methodname=queryInfo --time=500
8e5ace48ad510922,chaosblade,10.176.122.162,api-delay,e20854231869a0e8800758290c4c8c85ce9661030954cba4170141a63fa94783 travel2.controller.Travel2Controller queryInfo,Destroyed,2022-11-28T12:40:01.352615814+08:00,2022-11-28T12:45:03.073957936+08:00,2022-11-28T12:40:01.352615814+08:00_2022-11-28T12:45:03.073957936+08:00,cri jvm delay  --pid=1 --time=500 --classname=travel2.controller.Travel2Controller --container-id=e20854231869a0e8800758290c4c8c85ce9661030954cba4170141a63fa94783 --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --methodname=queryInfo
f43af6530a9649d0,chaosblade,10.176.122.161,api-delay,cd337673f2134b4ee14322b9c69823fe1e609a2bc9071467d70e890337a2c125 assurance.controller.AssuranceController getAllAssuranceType,Destroyed,2022-11-28T12:50:01.289378356+08:00,2022-11-28T12:55:02.692355467+08:00,2022-11-28T12:50:01.289378356+08:00_2022-11-28T12:55:02.692355467+08:00,cri jvm delay  --classname=assurance.controller.AssuranceController --methodname=getAllAssuranceType --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --container-id=cd337673f2134b4ee14322b9c69823fe1e609a2bc9071467d70e890337a2c125 --pid=1 --time=500
410f3cab47e6f3de,chaosblade,10.176.122.152,api-delay,d0b6f1a9279635b1546a2998950089cfe90fcb5d3a364257c4b2ca8b924ee108 foodsearch.controller.FoodController getAllFood,Destroyed,2022-11-28T13:00:01.313045156+08:00,2022-11-28T13:05:02.699147513+08:00,2022-11-28T13:00:01.313045156+08:00_2022-11-28T13:05:02.699147513+08:00,cri jvm delay  --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --methodname=getAllFood --pid=1 --time=500 --classname=foodsearch.controller.FoodController --container-id=d0b6f1a9279635b1546a2998950089cfe90fcb5d3a364257c4b2ca8b924ee108
78dbec188e08a3ff,chaosblade,10.176.122.161,api-delay,fdcd23e3d683cb56ca4977ef83c07ade05a5713a00e2216acab89980517e470c contacts.controller.ContactsController modifyContacts,Destroyed,2022-11-28T13:10:01.255233271+08:00,2022-11-28T13:15:02.556257626+08:00,2022-11-28T13:10:01.255233271+08:00_2022-11-28T13:15:02.556257626+08:00,cri jvm delay  --time=500 --classname=contacts.controller.ContactsController --methodname=modifyContacts --pid=1 --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --container-id=fdcd23e3d683cb56ca4977ef83c07ade05a5713a00e2216acab89980517e470c
d04bb942c8fcbcf3,chaosblade,10.176.122.151,api-delay,8df5d2600920311e7a06eb290a42a31dd0ed68b46ca7f0424f5e5140760342d2 other.controller.OrderOtherController queryOrdersForRefresh,Destroyed,2022-11-28T13:20:01.239932985+08:00,2022-11-28T13:25:02.877488755+08:00,2022-11-28T13:20:01.239932985+08:00_2022-11-28T13:25:02.877488755+08:00,cri jvm delay  --methodname=queryOrdersForRefresh --container-id=8df5d2600920311e7a06eb290a42a31dd0ed68b46ca7f0424f5e5140760342d2 --time=500 --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --classname=other.controller.OrderOtherController --pid=1
41fe53972510f647,chaosblade,10.176.122.151,api-delay,4399c468568ed02780dcb97ec09bbcb9a2bf1d9f5051635b6402a63159c1d10b order.controller.OrderController queryOrdersForRefresh,Destroyed,2022-11-28T13:30:01.309192098+08:00,2022-11-28T13:35:02.650727993+08:00,2022-11-28T13:30:01.309192098+08:00_2022-11-28T13:35:02.650727993+08:00,cri jvm delay  --methodname=queryOrdersForRefresh --time=500 --container-id=4399c468568ed02780dcb97ec09bbcb9a2bf1d9f5051635b6402a63159c1d10b --pid=1 --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --classname=order.controller.OrderController
6c0b57f620f375ef,chaosblade,10.176.122.153,api-delay,63a61b7863e73c21ade8f257242af99c788a12c9f74df41585da04503f2ab0c4 consign.controller.ConsignController updateConsign,Destroyed,2022-11-28T13:40:01.182487158+08:00,2022-11-28T13:45:03.090156097+08:00,2022-11-28T13:40:01.182487158+08:00_2022-11-28T13:45:03.090156097+08:00,cri jvm delay  --methodname=updateConsign --classname=consign.controller.ConsignController --container-id=63a61b7863e73c21ade8f257242af99c788a12c9f74df41585da04503f2ab0c4 --pid=1 --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --time=500
59d6aae97fd44918,chaosblade,10.176.122.162,api-delay,c21a72e93b58332d0118b0b75da8d6da9cfcccf913bfc8179a091b61af3c503f route.controller.RouteController queryById,Destroyed,2022-11-28T13:50:01.761070514+08:00,2022-11-28T13:55:03.148243222+08:00,2022-11-28T13:50:01.761070514+08:00_2022-11-28T13:55:03.148243222+08:00,cri jvm delay  --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --container-id=c21a72e93b58332d0118b0b75da8d6da9cfcccf913bfc8179a091b61af3c503f --classname=route.controller.RouteController --methodname=queryById --pid=1 --time=500
10d16a089a9ad035,chaosblade,10.176.122.162,api-exception,3a9e08bb4c56b17190a1a8454825fabbf82a1a73b26557208d42848301c43491 verifycode.controller.VerifyCodeController imageCode,Destroyed,2022-11-28T14:00:01.387202827+08:00,2022-11-28T14:05:06.428068293+08:00,2022-11-28T14:00:01.387202827+08:00_2022-11-28T14:05:06.428068293+08:00,cri jvm throwCustomException  --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --classname=verifycode.controller.VerifyCodeController --exception=java.lang.Exception --methodname=imageCode --container-id=3a9e08bb4c56b17190a1a8454825fabbf82a1a73b26557208d42848301c43491 --pid=1
aec6dfa1dec1dee9,chaosblade,10.176.122.153,api-exception,724518d52906f1f04369b6ada7ef05a2182271f4068427cbba60478a9e61a179 travel.controller.TravelController queryInfo,Destroyed,2022-11-28T14:10:01.265883673+08:00,2022-11-28T14:15:03.784671413+08:00,2022-11-28T14:10:01.265883673+08:00_2022-11-28T14:15:03.784671413+08:00,cri jvm throwCustomException  --classname=travel.controller.TravelController --pid=1 --methodname=queryInfo --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --container-id=724518d52906f1f04369b6ada7ef05a2182271f4068427cbba60478a9e61a179 --exception=java.lang.Exception
97c77057a209372e,chaosblade,10.176.122.162,api-exception,e20854231869a0e8800758290c4c8c85ce9661030954cba4170141a63fa94783 travel2.controller.Travel2Controller queryInfo,Destroyed,2022-11-28T14:20:01.513041259+08:00,2022-11-28T14:25:03.523811622+08:00,2022-11-28T14:20:01.513041259+08:00_2022-11-28T14:25:03.523811622+08:00,cri jvm throwCustomException  --pid=1 --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --exception=java.lang.Exception --classname=travel2.controller.Travel2Controller --container-id=e20854231869a0e8800758290c4c8c85ce9661030954cba4170141a63fa94783 --methodname=queryInfo
052a468447914c3a,chaosblade,10.176.122.161,api-exception,cd337673f2134b4ee14322b9c69823fe1e609a2bc9071467d70e890337a2c125 assurance.controller.AssuranceController getAllAssuranceType,Destroyed,2022-11-28T14:30:01.308943009+08:00,2022-11-28T14:35:03.51389964+08:00,2022-11-28T14:30:01.308943009+08:00_2022-11-28T14:35:03.51389964+08:00,cri jvm throwCustomException  --classname=assurance.controller.AssuranceController --container-id=cd337673f2134b4ee14322b9c69823fe1e609a2bc9071467d70e890337a2c125 --pid=1 --methodname=getAllAssuranceType --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --exception=java.lang.Exception
2652358494776071,chaosblade,10.176.122.152,api-exception,d0b6f1a9279635b1546a2998950089cfe90fcb5d3a364257c4b2ca8b924ee108 foodsearch.controller.FoodController getAllFood,Destroyed,2022-11-28T14:40:01.217002008+08:00,2022-11-28T14:45:02.927277593+08:00,2022-11-28T14:40:01.217002008+08:00_2022-11-28T14:45:02.927277593+08:00,cri jvm throwCustomException  --exception=java.lang.Exception --methodname=getAllFood --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --pid=1 --classname=foodsearch.controller.FoodController --container-id=d0b6f1a9279635b1546a2998950089cfe90fcb5d3a364257c4b2ca8b924ee108
0eaf98f9a59aaaaf,chaosblade,10.176.122.161,api-exception,fdcd23e3d683cb56ca4977ef83c07ade05a5713a00e2216acab89980517e470c contacts.controller.ContactsController modifyContacts,Destroyed,2022-11-28T14:50:01.245816669+08:00,2022-11-28T14:55:02.502404818+08:00,2022-11-28T14:50:01.245816669+08:00_2022-11-28T14:55:02.502404818+08:00,cri jvm throwCustomException  --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --exception=java.lang.Exception --methodname=modifyContacts --container-id=fdcd23e3d683cb56ca4977ef83c07ade05a5713a00e2216acab89980517e470c --pid=1 --classname=contacts.controller.ContactsController
be44f34647cf4db8,chaosblade,10.176.122.151,api-exception,8df5d2600920311e7a06eb290a42a31dd0ed68b46ca7f0424f5e5140760342d2 other.controller.OrderOtherController queryOrdersForRefresh,Destroyed,2022-11-28T15:00:01.333170797+08:00,2022-11-28T15:05:03.044346451+08:00,2022-11-28T15:00:01.333170797+08:00_2022-11-28T15:05:03.044346451+08:00,cri jvm throwCustomException  --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --classname=other.controller.OrderOtherController --methodname=queryOrdersForRefresh --container-id=8df5d2600920311e7a06eb290a42a31dd0ed68b46ca7f0424f5e5140760342d2 --exception=java.lang.Exception --pid=1
0c91b78b2a2676cd,chaosblade,10.176.122.151,api-exception,4399c468568ed02780dcb97ec09bbcb9a2bf1d9f5051635b6402a63159c1d10b order.controller.OrderController queryOrdersForRefresh,Destroyed,2022-11-28T15:10:01.311828573+08:00,2022-11-28T15:15:03.759558681+08:00,2022-11-28T15:10:01.311828573+08:00_2022-11-28T15:15:03.759558681+08:00,cri jvm throwCustomException  --exception=java.lang.Exception --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --container-id=4399c468568ed02780dcb97ec09bbcb9a2bf1d9f5051635b6402a63159c1d10b --pid=1 --classname=order.controller.OrderController --methodname=queryOrdersForRefresh
2ced425b4b51ec1b,chaosblade,10.176.122.153,api-exception,63a61b7863e73c21ade8f257242af99c788a12c9f74df41585da04503f2ab0c4 consign.controller.ConsignController updateConsign,Destroyed,2022-11-28T15:20:01.222391246+08:00,2022-11-28T15:25:02.886605344+08:00,2022-11-28T15:20:01.222391246+08:00_2022-11-28T15:25:02.886605344+08:00,cri jvm throwCustomException  --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --methodname=updateConsign --classname=consign.controller.ConsignController --pid=1 --container-id=63a61b7863e73c21ade8f257242af99c788a12c9f74df41585da04503f2ab0c4 --exception=java.lang.Exception
7b34a2504eec0b74,chaosblade,10.176.122.162,api-exception,c21a72e93b58332d0118b0b75da8d6da9cfcccf913bfc8179a091b61af3c503f route.controller.RouteController queryById,Destroyed,2022-11-28T15:30:01.769171763+08:00,2022-11-28T15:35:07.00459396+08:00,2022-11-28T15:30:01.769171763+08:00_2022-11-28T15:35:07.00459396+08:00,cri jvm throwCustomException  --exception=java.lang.Exception --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --classname=route.controller.RouteController --container-id=c21a72e93b58332d0118b0b75da8d6da9cfcccf913bfc8179a091b61af3c503f --methodname=queryById --pid=1
59eddb23-174a-408e-9412-f19770c5d9b0,chaosmesh,k8s-master,pod-http-request-delay,ts-admin-basic-info-service-595db5b9cf-49jhq,ok,2022-11-28T15:40:00,2022-11-28T15:45:00,2022-11-28T15:40:00_2022-11-28T15:45:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-admin-basic-info-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 18767\n  selector:\n    labelSelectors:\n      app: ts-admin-basic-info-service\n    namespaces:\n    - default\n  target: Request\n
e335a355-b4bf-4903-988c-be306322609d,chaosmesh,k8s-master,pod-http-request-delay,ts-admin-user-service-57fbb896c4-5d2l7,ok,2022-11-28T15:50:00,2022-11-28T15:55:00,2022-11-28T15:50:00_2022-11-28T15:55:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-admin-user-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 16115\n  selector:\n    labelSelectors:\n      app: ts-admin-user-service\n    namespaces:\n    - default\n  target: Request\n
b228b6ad-ffdb-4f60-ab26-3ee3c4ddd773,chaosmesh,k8s-master,pod-http-request-delay,ts-cancel-service-646644ddf4-mlbzd,ok,2022-11-28T16:00:03,2022-11-28T16:05:00,2022-11-28T16:00:03_2022-11-28T16:05:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-cancel-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 18885\n  selector:\n    labelSelectors:\n      app: ts-cancel-service\n    namespaces:\n    - default\n  target: Request\n
0252edfc-6db3-4532-933b-0b4d794b08bc,chaosmesh,k8s-master,pod-http-request-delay,ts-contacts-service-7586d57c67-mwd25,ok,2022-11-28T16:10:01,2022-11-28T16:15:00,2022-11-28T16:10:01_2022-11-28T16:15:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-contacts-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 12347\n  selector:\n    labelSelectors:\n      app: ts-contacts-service\n    namespaces:\n    - default\n  target: Request\n
7501c308-be80-4894-918e-f7e80c9756e8,chaosmesh,k8s-master,pod-http-request-delay,ts-order-other-service-5b5666cd96-jltv6,ok,2022-11-28T16:20:00,2022-11-28T16:25:00,2022-11-28T16:20:00_2022-11-28T16:25:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-order-other-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 12032\n  selector:\n    labelSelectors:\n      app: ts-order-other-service\n    namespaces:\n    - default\n  target: Request\n
f8aceea7-c7c2-4d57-a0f4-80adce4e0600,chaosmesh,k8s-master,pod-http-request-delay,ts-preserve-service-56548b8fd4-zmvps,ok,2022-11-28T16:30:00,2022-11-28T16:35:00,2022-11-28T16:30:00_2022-11-28T16:35:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-preserve-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 14568\n  selector:\n    labelSelectors:\n      app: ts-preserve-service\n    namespaces:\n    - default\n  target: Request\n
7b8b5b39-62c1-4394-b9a0-b320849b71ba,chaosmesh,k8s-master,pod-http-request-delay,ts-route-service-cd8474f97-b6zcp,ok,2022-11-28T16:40:02,2022-11-28T16:45:00,2022-11-28T16:40:02_2022-11-28T16:45:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-route-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 11178\n  selector:\n    labelSelectors:\n      app: ts-route-service\n    namespaces:\n    - default\n  target: Request\n
574e1625-5447-42ac-bee1-12963b80f007,chaosmesh,k8s-master,pod-http-request-delay,ts-train-food-service-9557b666c-vq8bx,ok,2022-11-28T16:50:00,2022-11-28T16:55:00,2022-11-28T16:50:00_2022-11-28T16:55:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-train-food-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 19999\n  selector:\n    labelSelectors:\n      app: ts-train-food-service\n    namespaces:\n    - default\n  target: Request\n
03a6a475-8f06-4b7c-a4c3-099e619300be,chaosmesh,k8s-master,pod-http-request-delay,ts-travel2-service-686c895647-tgd5d,ok,2022-11-28T17:00:02,2022-11-28T17:05:00,2022-11-28T17:00:02_2022-11-28T17:05:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-travel2-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 16346\n  selector:\n    labelSelectors:\n      app: ts-travel2-service\n    namespaces:\n    - default\n  target: Request\n
c4ec7b50-0837-41f5-a591-1d2134e5f4c4,chaosmesh,k8s-master,pod-http-request-abort,ts-admin-order-service-77b645d88f-lpfjb,ok,2022-11-28T17:10:00,2022-11-28T17:15:00,2022-11-28T17:10:00_2022-11-28T17:15:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-abort.ts-admin-order-service\n  namespace: default\nspec:\n  abort: true\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 16112\n  selector:\n    labelSelectors:\n      app: ts-admin-order-service\n    namespaces:\n    - default\n  target: Request\n
82d8bf7b-c1e9-45a7-b105-9bead7615ea7,chaosmesh,k8s-master,pod-http-request-abort,ts-assurance-service-67584bc8ff-b8jnr,ok,2022-11-28T17:20:00,2022-11-28T17:25:00,2022-11-28T17:20:00_2022-11-28T17:25:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-abort.ts-assurance-service\n  namespace: default\nspec:\n  abort: true\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 18888\n  selector:\n    labelSelectors:\n      app: ts-assurance-service\n    namespaces:\n    - default\n  target: Request\n
694a82db-4285-412e-bedd-4f7bf3c8c9e9,chaosmesh,k8s-master,pod-http-request-abort,ts-config-service-7578bd9cf7-shlzx,ok,2022-11-28T17:30:00,2022-11-28T17:35:00,2022-11-28T17:30:00_2022-11-28T17:35:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-abort.ts-config-service\n  namespace: default\nspec:\n  abort: true\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 15679\n  selector:\n    labelSelectors:\n      app: ts-config-service\n    namespaces:\n    - default\n  target: Request\n
b251479f-f652-486e-a90f-70d30173a176,chaosmesh,k8s-master,pod-http-request-abort,ts-execute-service-74b9955ddc-nr7m4,ok,2022-11-28T17:40:01,2022-11-28T17:45:00,2022-11-28T17:40:01_2022-11-28T17:45:00,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-abort.ts-execute-service\n  namespace: default\nspec:\n  abort: true\n  duration: 300s\n  mode: one\n  path: '*'\n  port: 12386\n  selector:\n    labelSelectors:\n      app: ts-execute-service\n    namespaces:\n    - default\n  target: Request\n
